"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","2.2uf","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C2,C9,C10,C13,C14","5","0.1uf","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C3","1",".47uf","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C4","1","0.1uF","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C5","1","1uF","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C6","1","4.7uF","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C7","1","0.5pf","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C8","1","1.5pf","","","","Footprint:C_0603","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"C11,C12","2","22uf","","","","Footprint:C_1206","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf"
"CN1,CN2,CN3,CN4","4","HC-ZH1.5-6AW","","","","EasyEDA:CONN-TH_6P-P1.50_HCTL_C-ZH1.5-6AW",""
"J1","1","USB4105-GF-A","","","","Footprint:usbc",""
"L1","1","10uH","","","","Footprint:0603",""
"L2","1","3.9nh","","","","Footprint:0603",""
"R1,R2","2","5.1k","","","","Footprint:0603","~"
"S2","1","TL3365AF180QG","","","","Footprint:button",""
"U1","1","CH592X","","","","CHXXX:QFN32_4X4",""
"U2","1","TCR2EF33_LMCT","","","","Footprint:voltage regulator","TCR2EF33_LMCT"
"U3","1","C30732.768NCXE20","","","","EasyEDA:HC-49S_L7.2-W3.2",""
"U4,U5","2","DRV8835DSSR","","","","EasyEDA:WSON-12_L3.0-W2.0-P0.50-BL-EP","https://lcsc.com/product-detail/Motor-Drivers_TI_DRV8835DSSR_DRV8835DSSR_C129328.html"
"U6","1","ANT3216LL00R2400A","","","","EasyEDA:ANT-SMD_L3.2-W1.6","https://lcsc.com/product-detail/Others_YAGEO-ANT3216LL00R2400A_C293767.html"
"Y1","1","XRCGB32M000F2P01R0","","","","Footprint:32mhz crystal",""
