Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,2.2uf,
"C10, C13, C14, C15, C16, C2, C9",C_0603,7,0.1uf,
"C11, C12",C_1206,2,22uf,
"C17, C18",C_0603,2,10uf,
C3,C_0603,1,.47uf,
C6,C_0603,1,4.7uF,
"CN1, CN2, CN3, CN4",CONN-TH_6P-P1.50_HCTL_C-ZH1.5-6AW,4,HC-ZH1.5-6AW,C2845569
J1,usbc,1,USB4105-GF-A,
J2,PinHeader_01x04_P2.54mm_Vertical_THT_D1mm,1,screen,
L1,0603,1,10uH,
P1,CONN-TH_2P-P5.00_WJ500V-5.08-2P,1,WJ500V-5.08-2P-14-00A,C8465
Q1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,AMS1117-3.3V_C5120796,C5120796
"R1, R2",0603,2,5.1k,
"S1, S2, S3",button,3,TL3365AF180QG,
U1,QFN32_4X4,1,CH592X,
"U4, U5",WSON-12_L3.0-W2.0-P0.50-BL-EP,2,DRV8835DSSR,C129328
X1,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
Y1,32mhz crystal,1,XRCGB32M000F2P01R0,
