Designator,Mid X,Mid Y,Rotation,Layer
C1,69.73,-77.49,180.0,top
C10,65.05,-83.06,270.0,top
C11,66.67,-83.01,270.0,top
C12,71.24,-51.3,90.0,top
C13,72.84,-51.28,90.0,top
C14,70.23,-54.21,0.0,top
C15,79.01,-73.425,180.0,top
C16,75.94,-72.205,0.0,top
C17,79.02,-72.225,180.0,top
C18,75.935,-73.41,0.0,top
C2,67.875,-66.025,270.0,top
C3,68.03,-63.72,0.0,top
C6,67.12,-77.48,0.0,top
C9,69.5,-79.34,0.0,top
CN1,80.585222,-37.1375,240.0,bottom
CN2,81.185222,-84.0875,60.0,top
CN3,60.533856,-37.1375,240.0,top
CN4,60.533856,-83.9425,300.0,top
J1,87.905,-68.12,90.0,top
J2,70.115,-60.69,90.0,bottom
L1,69.07,-76.16,180.0,top
P1,82.94,-56.26,90.0,top
Q1,78.26,-76.275,270.0,top
R1,81.32,-65.18,90.0,top
R2,81.32,-70.56,270.0,top
S1,84.3175,-44.48,180.0,top
S2,75.8975,-64.64,180.0,top
S3,84.2975,-48.57,180.0,top
U1,70.23,-69.374,0.0,top
U4,68.24,-52.25,180.0,top
U5,69.84,-83.63,0.0,top
X1,66.260001,-72.74,135.0,top
Y1,70.64,-64.58,270.0,top
